TIME CPU MEM PORT STATE
00:00.12 0.0 21M 23 sleeping 
00:00.19 3.2 22M 23 running 
00:01.27 99.4 23M 27 running 
00:02.35 99.3 20M 27 running 
00:03.43 99.5 20M 27 running 
00:04.52 100.3 19M 27 running 
00:05.59 98.9 21M 27 running 
00:06.66 98.9 21M 27 running 
00:07.74 98.9 21M 27 running 
00:08.81 97.4 22M 27 running 
00:09.89 99.0 22M 27 running 
00:10.98 98.8 23M 27 running 
00:12.06 98.9 23M 27 running 
00:13.13 98.9 24M 27 running 
00:14.20 97.7 24M 27 running 
00:15.29 99.1 24M 27 running 
00:16.36 99.0 24M 27 running 
00:17.43 98.7 24M 27 running 
00:18.50 98.6 24M 27 running 
00:19.58 99.1 24M 27 running 
00:20.66 99.1 24M 27 running 
00:21.76 99.0 25M 27 running 
00:22.82 98.3 27M 27 running 
00:23.90 99.0 28M 27 running 
00:24.97 98.5 28M 27 running 
00:26.04 99.2 29M 27 running 
00:27.12 99.1 29M 27 running 
00:28.19 98.8 30M 27 running 
00:29.26 98.4 30M 27 running 
00:30.34 98.8 30M 27 running 
00:31.41 99.0 30M 27 running 
00:32.50 98.6 30M 27 running 
00:33.58 99.0 30M 27 running 
00:34.65 98.8 30M 27 running 
00:35.73 99.0 30M 27 running 
00:36.80 98.5 30M 27 running 
00:37.88 100.4 30M 27 running 
00:38.94 95.6 30M 27 running 
00:40.01 99.1 30M 27 running 
00:41.09 99.1 31M 27 running 
00:42.16 98.4 31M 27 running 
00:43.26 98.9 31M 27 running 
00:44.33 98.6 31M 27 running 
00:45.42 99.1 31M 27 running 
00:46.49 99.0 31M 27 running 
00:47.56 99.0 31M 27 running 
00:48.64 98.9 31M 27 running 
00:49.71 99.0 31M 27 running 
00:50.79 99.4 31M 27 running 
00:51.85 98.2 31M 27 running 
00:52.94 100.0 33M 27 running 
00:54.04 98.9 33M 27 running 
00:55.11 99.1 33M 27 running 
00:56.19 99.4 35M 27 running 
00:57.26 98.8 36M 27 running 
00:58.35 100.1 37M 27 running 
00:59.43 98.3 38M 27 running 
01:00.50 98.7 38M 27 running 
01:01.58 99.0 39M 27 running 
01:02.67 100.8 42M 27 running 
01:03.75 99.2 43M 27 running 
01:04.45 63.0 43M 27 sleeping 
01:04.45 0.0 43M 27 sleeping 
01:04.45 0.0 43M 27 sleeping 
