PID    COMMAND %CPU TIME     #TH #WQ #PORTS MEM PURG CMPRS PGRP  PPID  STATE    BOOSTS %CPU_ME %CPU_OTHRS UID FAULTS COW MSGSENT MSGRECV SYSBSD SYSMACH CSW PAGEINS IDLEW POWER INSTRS CYCLES JETPRI  USER                 #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
15364  node    0.0  00:00.12 11/1 0   23     21M 0B   0B    15350 15350 sleeping *0[1]  0.00000 0.00000    501 3387   130 60      30      4196   231     553 111     5     0.0   0      0      180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    3.2  00:00.19 11/1 0   23     22M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 3466+  130 60      30      4209+  267+    636+ 121+    5     3.2   1020736316 180717110 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.4 00:01.27 11/1 0   27+    23M+ 0B   0B    15350 15350 running  *0[1]  0.01110 0.00000    501 3616+  131+ 91+     44+     4371+  292+    1320+ 129+    5     99.4  16442615374 2635720696 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.3 00:02.35 11/1 0   27     20M- 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 3630+  131  117+    57+     4479+  305+    1961+ 129     5     99.3  16744776227 2638352002 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.5 00:03.43 11/1 0   27     20M- 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 3786+  131  143+    70+     5044+  318+    2706+ 129     5     99.5  16716871896 2645962484 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    100.3 00:04.52 11/1 0   27     19M- 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 3966+  131  169+    83+     5712+  331+    3509+ 129     5     100.3 16690504648 2655512198 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.9  00:05.59 11/1 0   27     21M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4062+  131  195+    96+     5779+  344+    4193+ 129     5     98.9  16662444879 2625781130 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.9  00:06.66 11/1 0   27     21M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4069+  131  221+    109+    5827+  357+    4811+ 129     6+    98.9  16723457699 2624649541 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.9  00:07.74 11/1 0   27     21M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4081+  131  247+    122+    5884+  370+    5704+ 129     6     98.9  16532253769 2630367324 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    97.4  00:08.81 11/1 0   27     22M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4099+  131  273+    135+    5979+  383+    7514+ 129     6     97.4  16309095033 2621434854 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
