TIME CPU MEM PORT STATE
00:00.23 0.0 1857K 21 sleeping 
00:00.23 0.0 1857K 21 sleeping 
00:04.90 417.7 3345K 21 running 
00:11.14 568.5 3601K 21 running 
00:18.58 678.6 3729K 21 running 
00:25.73 634.6 4097K 21 running 
00:32.88 638.4 4225K 21 running 
00:39.90 647.2 4481K 21 running 
00:46.89 615.2 5073K 21 running 
00:53.92 646.9 5505K 21 running 
01:01.17 668.1 5521K 21 running 
01:08.59 655.1 5553K 21 running 
01:15.72 637.7 5585K 21 running 
01:22.65 635.9 5681K 21 running 
01:29.91 666.0 5777K 21 running 
01:37.20 665.8 5873K 21 running 
01:44.12 613.8 5889K 21 running 
01:50.92 610.4 5921K 21 running 
01:58.05 656.5 5921K 21 running 
02:05.04 639.3 5921K 21 running 
02:12.19 649.4 5921K 21 running 
02:19.41 646.0 6017K 21 running 
02:26.50 651.6 6113K 21 running 
02:33.60 653.2 6113K 21 running 
02:40.66 642.4 6193K 21 running 
02:47.21 596.5 6193K 21 running 
02:53.79 594.4 6193K 21 running 
03:00.77 623.0 6465K 21 running 
03:07.54 606.3 6513K 21 running 
03:14.14 589.2 6561K 21 running 
03:20.71 602.7 6609K 21 running 
03:27.38 592.0 6657K 21 running 
03:33.66 555.2 6689K 21 running 
03:40.68 643.6 6689K 21 running 
03:47.56 628.0 6753K 21 running 
03:53.78 555.7 6801K 21 running 
04:00.48 594.7 6833K 21 running 
04:07.66 640.6 6865K 21 running 
04:14.24 592.7 6881K 21 running 
04:21.05 608.8 6897K 21 running 
04:28.10 646.6 6897K 21 running 
04:35.03 625.9 6929K 21 running 
04:41.47 580.4 6961K 21 running 
04:48.14 615.6 6977K 21 running 
04:54.94 623.3 7009K 21 running 
05:02.20 666.9 7025K 21 running 
05:08.78 599.7 7041K 21 running 
05:15.97 657.7 7057K 21 running 
05:23.03 653.6 7057K 21 running 
05:28.54 508.2 7057K 21 running 
05:33.85 487.9 7057K 21 running 
05:40.02 553.7 7057K 21 running 
05:47.02 643.4 7057K 21 running 
05:49.66 242.6 7057K 21 running 
05:53.42 346.3 7057K 21 running 
05:57.13 330.1 7057K 21 sleeping 
05:57.13 0.1 7057K 21 sleeping 
